longitude,latitude,name,info
-159.49246,21.88575,Allerton National Botanical Garden,
-159.47574,22.21273,Hanalei Valley Lookout,
-159.56267,21.91987,Hanapepe Lookout,
-159.33535,22.04257,Hikinaakala Heiau,
-159.64567,22.15034,Kalalau Lookout,
-159.56151,21.8998,Kauai Coffee Company,"Admission: Free
Allow 30 minutes
Open Daily 9am-5pm"
-159.3664,21.97335,Kauai Visitors Bureau,"4334 Rice Street, #101
Lihue (808) 245-3971"
-159.40229,22.22945,Kilauea Lighthouse,"Admission: $5
Open Daily 10am-4pm"
-159.57638,22.21918,Limahuli Gardens,"Self Guided Tours: $15
Allow 1 hour
Tues-Sat 9m-4pm"
-159.36885,21.94928,Menehune Fishpond Overlook,
-159.3582,22.04649,Opaekaa Falls,
-159.66947,22.10954,Puu Hinahina Viewpoint,
-159.63111,22.14714,Puu O Kila Lookout,
-159.34032,22.04528,Smiths Fern Grotto Boat Tours,
-159.67714,21.99551,Southern Waimea Canyon Lookout,
-159.46621,21.95034,Tree Tunnel,On the Road to Koloa
-159.37923,22.03425,Wailua Falls,
-159.35443,22.04657,Wailua River Overlook,
-159.66219,22.07147,Waimea Canyon Lookout,
-159.4939,21.88551,Spouting Horn Park,
-157.92078,21.31385,Air Ventures Hawai'i,"Air Flight over O'ahu
Palekona Street, Honolulu"
-157.84845,21.28964,Ala Moana Park,Honolulu
-158.10636,21.29644,Barbers Point Lighthouse,Barbers Point
-157.86944,21.33305,Bishop Museum,Honolulu
-157.82528,21.43431,Byodo-in Temple,Kaneohe
-157.8081,21.25478,Diamond Head Lighthouse,Honolulu
-157.80506,21.26345,Diamond Head State Monument,Honolulu
-158.03819,21.5258,Dole Plantation,Wahiawa
-158.10529,21.29748,Germaines Luau Location,Barbers Point
-157.67773,21.28205,Halona Blow Hole Lookout,Hawaii Kai
-157.6968,21.27288,Hanauma Bay Nature Preserve Park,Hanauma Bay
-157.86436,21.30579,Hawaii Maritime Center Museum,Honolulu
-157.82829,21.27865,Hawaii Visitor & Convention Bureau,Honolulu
-157.85724,21.3074,Hawaii State Capitol,Honolulu
-157.80838,21.44211,Heeia State Park,Heeia
-157.81951,21.26531,Kapiolani Park,Honolulu
-157.67163,21.29089,Koko Crater Botanical Garden,Hawaii Kai
-157.83613,21.52251,Kualoa Ranch,Kaaawa
-157.83736,21.51195,Kualoa Regional Park,"Kaaawa
View of Chinaman's Hat"
-157.80062,21.33277,Manoa Falls,Honolulu
-157.75662,21.34934,Manuawili Falls,Waimanalo
-157.79396,21.36527,Pali Lookout,Kailua
-157.9191,21.63991,Polynesian Cultural Center,Laie
-157.84611,21.31234,Punchbowl National Memorial Cemetery,Honolulu
-157.6623,21.31437,Sea Life Park Hawaii,Makapuu
-157.82244,21.31388,Tantalus Lookout,"Puu Ualakaa State Wayside
Honolulu"
-157.9982,21.70469,Turtle Bay Resort,North Shore
-157.93825,21.36669,USS Arizona Memorial,Pearl Harbor
-157.93783,21.36782,USS Bowfin Submarine Museum,Pearl Harbor
-157.93783,21.36782,USS Missouri Memorial,Pearl Harbor
-157.82628,21.43483,Valley of the Temples Memorial Park,Kaneohe
-157.82126,21.26549,Waikiki Aquarium,Honolulu
-158.05477,21.6363,Waimea Falls Park,North Shore
-158.0854,21.31608,Hawaiin Waters,Barbers Point Harbor Kapolei Hawaii 800-674-9283 http://www.hawaiianwaters.com/  *** Attractions
